Code postal 2022;Libellé poste;Population 2019 desservie par le code postal, au minimum (en ne comptabilisant aucune commune multidistribuée);Population 2019 desservie par le code postal, au maximum (en comptabilisant toutes les communes multidistribuée);Code géographique PMSI 2022;Population 2019 desservie par le code géo PMSI
01000;BOURG-EN-BRESSE; 47 054; 47 054;01000; 47 054
01090;MONTMERLE-SUR-SAÔNE; 9 048; 9 048;01090; 9 048
01100;OYONNAX; 33 577; 33 577;01100; 33 577
01110;PLATEAU D'HAUTEVILLE; 6 469; 6 469;01110; 6 469
01120;MONTLUEL; 19 078; 19 078;01120; 19 078
01130;NANTUA; 3 550; 7 004;01C02; 13 907
01140;SAINT-DIDIER-SUR-CHALARONNE; 9 094; 9 094;01140; 9 094
01150;LAGNIEU; 18 378; 18 378;01150; 18 378
01160;PONT-D'AIN; 10 377; 10 377;01160; 10 377
01170;GEX; 26 952; 27 264;01170; 26 952
01190;PONT-DE-VAUX; 9 927; 10 292;01190; 10 292
01200;VALSERHÔNE; 21 237; 21 698;01200; 21 237
01210;FERNEY-VOLTAIRE; 16 666; 16 666;01210; 16 666
01220;DIVONNE-LES-BAINS; 11 768; 11 768;01220; 11 768
01230;SAINT-RAMBERT-EN-BUGEY; 5 261; 5 261;01230; 5 261
01240;SAINT-PAUL-DE-VARAX; 7 846; 7 846;01240; 7 846
01250;CEYZÉRIAT; 16 794; 16 794;01250; 16 794
01260;VALROMEY-SUR-SÉRAN; 3 647; 3 647;01260; 3 647
01270;COLIGNY; 3 982; 3 982;01270; 3 982
01280;PRÉVESSIN-MOËNS; 8 711; 8 711;01280; 8 711
01290;GRIÈGES; 9 896; 11 654;01C01; 17 133
01300;BELLEY; 20 256; 21 415;01300; 21 415
01310;POLLIAT; 9 944; 9 944;01310; 9 944
01320;CHALAMONT; 6 520; 6 520;01320; 6 520
01330;VILLARS-LES-DOMBES; 8 992; 8 992;01330; 8 992
01340;ATTIGNAT; 15 300; 15 300;01340; 15 300
01350;CULOZ; 6 376; 6 376;01350; 6 376
01360;BÉLIGNEUX; 10 098; 10 098;01360; 10 098
01370;SAINT-ÉTIENNE-DU-BOIS; 7 698; 7 698;01370; 7 698
01380;BÂGÉ-DOMMARTIN; 8 096; 8 461;01380; 8 096
01390;SAINT-ANDRÉ-DE-CORCY; 12 593; 12 593;01390; 12 593
01400;CHÂTILLON-SUR-CHALARONNE; 11 302; 11 302;01400; 11 302
01410;CHAMPFROMIER;  963; 2 021;01410; 1 736
01420;CORBONOD; 3 048; 3 048;01420; 3 048
01430;SAINT-MARTIN-DU-FRÊNE; 4 111; 4 111;01430; 4 111
01440;VIRIAT; 6 595; 6 595;01440; 6 595
01450;PONCIN; 3 590; 3 590;01450; 3 590
01460;MONTRÉAL-LA-CLUSE; 6 903; 10 357;01C02; 13 907
01470;SERRIÈRES-DE-BRIORD; 3 459; 3 459;01470; 3 459
01480;JASSANS-RIOTTIER; 18 909; 18 909;01480; 18 909
01500;AMBÉRIEU-EN-BUGEY; 24 799; 24 799;01500; 24 799
01510;ARTEMARE; 3 862; 5 021;01510; 3 862
01540;VONNAS; 4 861; 4 861;01540; 4 861
01550;COLLONGES; 4 081; 4 081;01550; 4 081
01560;SAINT-TRIVIER-DE-COURTES; 6 414; 6 414;01560; 6 414
01570;FEILLENS; 5 488; 5 488;01570; 5 488
01580;IZERNORE; 3 860; 3 860;01580; 3 860
01590;DORTAN; 2 736; 2 736;01590; 2 736
01600;TRÉVOUX; 24 099; 24 099;01600; 24 099
01630;SAINT-GENIS-POUILLY; 22 279; 22 279;01630; 22 279
01640;JUJURIEUX; 4 514; 4 514;01640; 4 514
01660;MÉZÉRIAT; 3 958; 3 958;01660; 3 958
01680;LHUIS; 1 275; 1 275;01680; 1 275
01700;MIRIBEL; 21 407; 21 407;01700; 21 407
01710;THOIRY; 6 021; 6 021;01710; 6 021
01750;REPLONGES; 5 479; 7 237;01C01; 17 133
01800;MEXIMIEUX; 22 415; 22 415;01800; 22 415
01851;MARBOZ; 2 276; 2 276;01851; 2 276
01960;PÉRONNAS; 8 974; 8 974;01960; 8 974
01990;SAINT-TRIVIER-SUR-MOIGNANS; 3 844; 3 844;01990; 3 844
02000;LAON; 34 335; 34 335;02000; 34 335
02100;SAINT-QUENTIN; 60 894; 60 894;02100; 60 894
02110;BOHAIN-EN-VERMANDOIS; 15 316; 15 316;02110; 15 316
02120;GUISE; 12 107; 12 107;02120; 12 107
02130;FÈRE-EN-TARDENOIS; 7 850; 7 850;02130; 7 850
02140;VERVINS; 9 782; 9 782;02140; 9 782
02150;SISSONNE; 2 756; 2 756;02150; 2 756
02160;LES SEPTVALLONS; 7 220; 7 220;02160; 7 220
02170;LE NOUVION-EN-THIÉRACHE; 4 297; 4 297;02170; 4 297
02190;VILLENEUVE-SUR-AISNE; 8 116; 8 116;02190; 8 116
02200;SOISSONS; 48 431; 48 431;02200; 48 431
02210;COINCY; 7 011; 7 011;02210; 7 011
02220;BRAINE; 8 383; 8 383;02220; 8 383
02230;FRESNOY-LE-GRAND; 2 958; 2 958;02230; 2 958
02240;RIBEMONT; 7 495; 7 495;02C02; 8 481
02250;MARLE; 5 237; 5 237;02250; 5 237
02260;LA CAPELLE; 4 925; 4 925;02260; 4 925
02270;CRÉCY-SUR-SERRE; 7 962; 7 962;02270; 7 962
02290;VIC-SUR-AISNE; 7 928; 7 928;02290; 7 928
02300;CHAUNY; 27 331; 27 331;02300; 27 331
02310;CHARLY-SUR-MARNE; 10 891; 10 891;02310; 10 891
02320;ANIZY-LE-GRAND; 7 534; 7 534;02320; 7 534
02330;CONDÉ-EN-BRIE; 2 935; 3 755;02330; 2 935
02340;MONTCORNET; 4 511; 4 511;02340; 4 511
02350;LIESSE-NOTRE-DAME; 5 026; 5 026;02350; 5 026
02360;ROZOY-SUR-SERRE; 2 874; 2 874;02360; 2 874
02370;VAILLY-SUR-AISNE; 4 458; 4 458;02370; 4 458
02380;COUCY-LE-CHÂTEAU-AUFFRIQUE; 2 911; 2 911;02380; 2 911
02390;ORIGNY-SAINTE-BENOITE; 3 227; 3 227;02390; 3 227
02400;CHÂTEAU-THIERRY; 30 484; 30 484;02400; 30 484
02410;SAINT-GOBAIN; 2 595; 2 595;02410; 2 595
02420;LEHAUCOURT; 6 854; 6 854;02420; 6 854
02430;GAUCHY; 5 235; 5 235;02430; 5 235
02440;MONTESCOURT-LIZEROLLES; 2 942; 2 942;02440; 2 942
02450;BOUÉ; 3 229; 3 229;02450; 3 229
02460;LA FERTÉ-MILON; 2 400; 2 400;02460; 2 400
02470;NEUILLY-SAINT-FRONT; 3 033; 3 033;02470; 3 033
02480;JUSSY; 3 439; 3 439;02480; 3 439
02490;VERMAND; 3 144; 3 144;02490; 3 144
02500;HIRSON; 15 012; 15 012;02500; 15 012
02510;ÉTREUX; 2 188; 2 188;02510; 2 188
02520;FLAVY-LE-MARTEL; 1 669; 1 669;02520; 1 669
02540;VIELS-MAISONS; 2 261; 3 081;02540; 3 081
02550;ORIGNY-EN-THIÉRACHE; 1 432; 1 432;02550; 1 432
02570;CHÉZY-SUR-MARNE; 2 053; 2 053;02570; 2 053
02580;ÉTRÉAUPONT; 1 297; 1 297;02580; 1 297
02590;ÉTREILLERS; 3 798; 3 798;02590; 3 798
02600;VILLERS-COTTERÊTS; 16 831; 16 831;02600; 16 831
02610;MOŸ-DE-L'AISNE;  986;  986;02C02; 8 481
02620;BUIRONFOSSE; 1 157; 1 157;02620; 1 157
02630;WASSIGNY; 1 762; 1 762;02630; 1 762
02640;SAINT-SIMON;  922;  922;02C01; 1 664
02650;CRÉZANCY; 2 284; 2 284;02650; 2 284
02670;FOLEMBRAY; 1 676; 1 676;02670; 1 676
02680;GRUGIES; 2 289; 2 289;02680; 2 289
02690;ESSIGNY-LE-GRAND; 1 732; 1 732;02690; 1 732
02700;TERGNIER; 18 023; 18 023;02700; 18 023
02720;HOMBLIÈRES; 2 086; 2 086;02720; 2 086
02760;HOLNON; 1 897; 1 897;02760; 1 897
02790;SERAUCOURT-LE-GRAND;  742;  742;02C01; 1 664
02800;LA FÈRE; 12 434; 12 434;02800; 12 434
02810;GANDELU; 2 912; 2 912;02810; 2 912
02820;SAINT-ERME-OUTRE-ET-RAMECOURT; 4 477; 4 477;02820; 4 477
02830;SAINT-MICHEL; 3 693; 3 693;02830; 3 693
02840;ATHIES-SOUS-LAON; 5 554; 5 554;02840; 5 554
02850;TRÉLOU-SUR-MARNE; 2 978; 2 978;02850; 2 978
02860;BRUYÈRES-ET-MONTBÉRAULT; 4 664; 4 664;02860; 4 664
02870;CRÉPY; 3 618; 3 618;02870; 3 618
02880;CROUY; 10 042; 10 042;02880; 10 042
03000;MOULINS; 26 996; 26 996;03000; 26 996
03100;MONTLUÇON; 35 515; 35 515;03100; 35 515
03110;VENDAT; 9 695; 9 695;03110; 9 695
03120;LAPALISSE; 8 090; 8 090;03120; 8 090
03130;LE DONJON; 4 299; 4 299;03130; 4 299
03140;CHANTELLE; 5 211; 5 211;03140; 5 211
03150;VARENNES-SUR-ALLIER; 8 109; 8 109;03150; 8 109
03160;BOURBON-L'ARCHAMBAULT; 5 144; 5 144;03160; 5 144
03170;DOYET; 5 317; 5 317;03170; 5 317
03190;VALLON-EN-SULLY; 7 089; 7 089;03190; 7 089
03200;VICHY; 29 802; 29 802;03200; 29 802
03210;SOUVIGNY; 6 750; 6 750;03210; 6 750
03220;JALIGNY-SUR-BESBRE; 4 288; 4 288;03220; 4 288
03230;LUSIGNY; 7 111; 7 111;03230; 7 111
03240;TRONGET; 3 743; 3 743;03240; 3 743
03250;LE MAYET-DE-MONTAGNE; 4 138; 4 138;03250; 4 138
03260;SAINT-GERMAIN-DES-FOSSÉS; 6 662; 6 662;03260; 6 662
03270;SAINT-YORRE; 5 337; 5 337;03270; 5 337
03290;DOMPIERRE-SUR-BESBRE; 4 792; 4 792;03290; 4 792
03300;CUSSET; 18 959; 18 959;03300; 18 959
03310;NÉRIS-LES-BAINS; 5 603; 5 603;03310; 5 603
03320;LURCY-LÉVIS; 3 852; 3 852;03320; 3 852
03330;BELLENAVES; 2 085; 2 085;03330; 2 085
03340;NEUILLY-LE-RÉAL; 4 800; 4 800;03340; 4 800
03350;CÉRILLY; 2 474; 2 474;03350; 2 474
03360;AINAY-LE-CHÂTEAU; 3 912; 3 912;03360; 3 912
03370;CHAZEMAIS; 2 511; 2 511;03370; 2 511
03380;HURIEL; 6 674; 6 674;03380; 6 674
03390;MONTMARAULT; 3 425; 3 425;03390; 3 425
03400;YZEURE; 15 235; 15 235;03400; 15 235
03410;DOMÉRAT; 14 620; 14 620;03410; 14 620
03420;MARCILLAT-EN-COMBRAILLE; 2 559; 2 559;03420; 2 559
03430;COSNE-D'ALLIER; 3 854; 3 854;03430; 3 854
03440;BUXIÈRES-LES-MINES; 1 688; 1 688;03440; 1 688
03450;ÉBREUIL; 2 504; 2 504;03450; 2 504
03460;TRÉVOL; 3 587; 3 587;03460; 3 587
03470;SALIGNY-SUR-ROUDON; 1 757; 1 757;03470; 1 757
03500;SAINT-POURÇAIN-SUR-SIOULE; 11 576; 11 576;03500; 11 576
03510;MOLINET; 2 170; 2 170;03510; 2 170
03600;COMMENTRY; 8 117; 8 117;03600; 8 117
03630;DÉSERTINES; 4 459; 4 459;03630; 4 459
03700;BELLERIVE-SUR-ALLIER; 11 062; 11 062;03700; 11 062
03800;GANNAT; 10 055; 10 055;03800; 10 055
04000;DIGNE-LES-BAINS; 16 770; 17 257;04000; 16 872
04100;MANOSQUE; 22 528; 22 528;04100; 22 528
04110;REILLANNE; 2 679; 2 679;04C04; 5 120
04120;CASTELLANE; 2 539; 2 539;04120; 2 539
04130;VOLX; 3 206; 3 206;04130; 3 206
04140;SEYNE; 2 692; 2 692;04140; 2 692
04150;BANON; 2 958; 2 958;04150; 2 958
04160;CHÂTEAU-ARNOUX-SAINT-AUBAN; 1 371; 6 460;04C08; 9 687
04170;SAINT-ANDRÉ-LES-ALPES; 2 573; 2 573;04170; 2 573
04180;VILLENEUVE; 4 323; 4 323;04180; 4 323
04190;LES MÉES; 3 751; 3 751;04190; 3 751
04200;SISTERON; 14 106; 14 106;04200; 14 106
04210;VALENSOLE; 3 463; 3 463;04210; 3 463
04220;SAINTE-TULLE; 4 661; 4 661;04220; 4 661
04230;SAINT-ÉTIENNE-LES-ORGUES; 3 196; 3 196;04230; 3 196
04240;ANNOT; 1 731; 1 731;04240; 1 731
04250;LA MOTTE-DU-CAIRE; 1 814; 1 814;04250; 1 814
04260;ALLOS;  824;  824;04C02; 1 941
04270;MÉZEL; 2 152; 2 417;04270; 2 152
04280;CÉRESTE; 1 206; 1 206;04C04; 5 120
04290;VOLONNE; 2 459; 2 459;04290; 2 459
04300;FORCALQUIER; 9 896; 9 896;04300; 9 896
04310;PEYRUIS; 2 905; 2 905;04C08; 9 687
04320;ENTREVAUX; 1 172; 1 172;04320; 1 172
04330;BARRÊME; 1 132; 1 295;04330; 1 295
04340;UBAYE-SERRE-PONÇON; 1 274; 1 274;04C07; 6 099
04350;MALIJAI;  0; 1 975;04C09; 5 616
04360;MOUSTIERS-SAINTE-MARIE;  720;  720;04C03; 1 547
04370;COLMARS; 1 117; 1 117;04C02; 1 941
04380;THOARD; 1 003; 1 003;04C06; 1 851
04400;BARCELONNETTE; 4 825; 4 825;04C07; 6 099
04410;PUIMOISSON;  827;  827;04C03; 1 547
04420;LE BRUSQUET; 1 841; 2 226;04420; 2 226
04500;RIEZ; 4 052; 4 052;04500; 4 052
04510;AIGLUN; 3 641; 5 616;04C09; 5 616
04530;SAINT-PAUL-SUR-UBAYE;  447;  447;04C01; 1 579
04600;MONTFORT;  322; 5 411;04C08; 9 687
04660;CHAMPTERCIER;  848;  848;04C06; 1 851
04700;ORAISON; 8 106; 8 106;04700; 8 106
04800;GRÉOUX-LES-BAINS; 3 658; 3 658;04800; 3 658
04850;JAUSIERS; 1 132; 1 132;04C01; 1 579
04860;PIERREVERT; 3 905; 3 905;04860; 3 905
04870;SAINT-MICHEL-L'OBSERVATOIRE; 1 235; 1 235;04C04; 5 120
05000;GAP; 44 744; 44 744;05000; 44 744
05100;BRIANÇON; 15 420; 15 420;05100; 15 420
05110;LA SAULCE; 3 301; 3 301;05110; 3 301
05120;L'ARGENTIÈRE-LA-BESSÉE; 3 925; 3 925;05120; 3 925
05130;TALLARD; 4 880; 4 880;05130; 4 880
05140;ASPRES-SUR-BUËCH; 2 014; 2 014;05140; 2 014
05150;ROSANS; 1 135; 1 135;05150; 1 135
05160;SAVINES-LE-LAC; 1 741; 1 741;05160; 1 741
05170;ORCIÈRES;  674;  674;05C07; 4 737
05190;ESPINASSES; 2 083; 2 083;05190; 2 083
05200;EMBRUN; 10 378; 10 378;05C02; 11 576
05220;LE MONÊTIER-LES-BAINS; 1 060; 1 060;05C01; 2 768
05230;CHORGES; 6 798; 6 798;05230; 6 798
05240;LA SALLE-LES-ALPES;  935;  935;05C01; 2 768
05250;DÉVOLUY;  916;  916;05C06; 5 606
05260;SAINT-JEAN-SAINT-NICOLAS; 4 063; 4 063;05C07; 4 737
05290;VALLOUISE-PELVOUX;  301; 1 455;05C04; 1 455
05300;LARAGNE-MONTÉGLIN; 8 070; 8 070;05300; 8 070
05310;LA ROCHE-DE-RAME; 1 213; 1 213;05310; 1 213
05320;LA GRAVE;  479;  479;05C01; 2 768
05330;SAINT-CHAFFREY; 1 531; 1 531;05330; 1 531
05340;VALLOUISE-PELVOUX;  0; 1 154;05C04; 1 455
05350;ARVIEUX; 1 166; 1 166;05C03; 1 946
05380;CHÂTEAUROUX-LES-ALPES; 1 198; 1 198;05C02; 11 576
05400;VEYNES; 6 453; 6 453;05400; 6 453
05460;ABRIÈS-RISTOLAS;  383;  383;05C03; 1 946
05470;AIGUILLES;  397;  397;05C03; 1 946
05480;VILLAR-D'ARÊNE;  294;  294;05C01; 2 768
05500;SAINT-BONNET-EN-CHAMPSAUR; 4 690; 5 395;05C06; 5 606
05560;VARS;  528;  528;05C05; 6 022
05600;GUILLESTRE; 5 494; 5 494;05C05; 6 022
05700;SERRES; 3 356; 3 356;05700; 3 356
05800;AUBESSAGNE; 1 119; 1 824;05800; 1 824
06000;NICE;  0; 342 669;06000; 342 669
06100;NICE;  0; 342 669;06000; 342 669
06110;LE CANNET; 41 887; 41 887;06110; 41 887
06130;GRASSE;  0; 48 870;06130; 48 870
06140;VENCE; 23 512; 23 512;06140; 23 512
06150;CANNES;  0; 74 545;06400; 74 545
06160;ANTIBES;  0; 73 438;06600; 73 438
06190;ROQUEBRUNE-CAP-MARTIN; 12 839; 12 839;06190; 12 839
06200;NICE;  0; 342 669;06000; 342 669
06210;MANDELIEU-LA-NAPOULE; 21 998; 21 998;06210; 21 998
06220;VALLAURIS; 27 364; 27 364;06220; 27 364
06230;VILLEFRANCHE-SUR-MER; 6 525; 6 525;06230; 6 525
06240;BEAUSOLEIL; 13 358; 13 358;06240; 13 358
06250;MOUGINS; 19 982; 19 982;06250; 19 982
06260;PUGET-THÉNIERS; 3 119; 3 119;06260; 3 119
06270;VILLENEUVE-LOUBET; 16 285; 16 285;06270; 16 285
06300;NICE;  0; 342 669;06000; 342 669
06310;BEAULIEU-SUR-MER; 3 755; 3 755;06310; 3 755
06320;CAP-D'AIL; 7 504; 7 504;06320; 7 504
06330;ROQUEFORT-LES-PINS; 7 183; 7 183;06330; 7 183
06340;LA TRINITÉ; 16 532; 16 532;06340; 16 532
06360;ÈZE; 2 256; 2 256;06360; 2 256
06370;MOUANS-SARTOUX; 9 887; 9 887;06370; 9 887
06380;SOSPEL; 4 056; 4 056;06380; 4 056
06390;CONTES; 11 388; 11 388;06390; 11 388
06400;CANNES;  0; 74 545;06400; 74 545
06410;BIOT; 9 668; 9 668;06410; 9 668
06420;VALDEBLORE; 3 874; 3 874;06420; 3 874
06430;TENDE; 2 862; 2 862;06430; 2 862
06440;L'ESCARÈNE; 9 639; 9 639;06440; 9 639
06450;ROQUEBILLIÈRE; 6 802; 6 802;06450; 6 802
06460;SAINT-VALLIER-DE-THIEY; 4 563; 4 563;06460; 4 563
06470;PÉONE; 2 594; 2 594;06470; 2 594
06480;LA COLLE-SUR-LOUP; 7 898; 7 898;06480; 7 898
06500;MENTON; 34 882; 34 882;06500; 34 882
06510;CARROS; 19 136; 19 136;06510; 19 136
06520;GRASSE;  0; 48 870;06130; 48 870
06530;PEYMEINADE; 17 702; 17 702;06530; 17 702
06540;BREIL-SUR-ROYA; 2 912; 2 912;06540; 2 912
06550;LA ROQUETTE-SUR-SIAGNE; 5 385; 5 385;06550; 5 385
06560;VALBONNE; 13 486; 13 486;06560; 13 486
06570;SAINT-PAUL-DE-VENCE; 3 252; 3 252;06570; 3 252
06580;PÉGOMAS; 7 996; 7 996;06580; 7 996
06590;THÉOULE-SUR-MER; 1 362; 1 362;06590; 1 362
06600;ANTIBES;  0; 73 438;06600; 73 438
06610;LA GAUDE; 7 010; 7 010;06610; 7 010
06620;LE BAR-SUR-LOUP; 4 375; 4 375;06620; 4 375
06640;SAINT-JEANNET; 4 246; 4 246;06640; 4 246
06650;LE ROURET; 6 367; 6 367;06650; 6 367
06660;SAINT-ÉTIENNE-DE-TINÉE; 1 602; 1 602;06660; 1 602
06670;LEVENS; 15 334; 15 334;06670; 15 334
06690;TOURRETTE-LEVENS; 5 013; 5 013;06690; 5 013
06700;SAINT-LAURENT-DU-VAR; 29 169; 29 169;06700; 29 169
06710;VILLARS-SUR-VAR; 1 974; 1 974;06710; 1 974
06730;SAINT-ANDRÉ-DE-LA-ROCHE; 5 695; 5 695;06730; 5 695
06740;CHÂTEAUNEUF-GRASSE; 3 664; 3 664;06740; 3 664
06750;ANDON; 2 063; 2 063;06C01; 2 568
06790;ASPREMONT; 2 272; 2 272;06790; 2 272
06800;CAGNES-SUR-MER; 52 178; 52 178;06800; 52 178
06810;AURIBEAU-SUR-SIAGNE; 3 200; 3 200;06810; 3 200
06830;GILETTE; 3 041; 3 041;06830; 3 041
06850;BRIANÇONNET;  505;  505;06C01; 2 568
06910;ROQUESTÉRON; 1 787; 1 787;06910; 1 787
06950;FALICON; 1 994; 1 994;06950; 1 994
07000;PRIVAS; 17 211; 17 211;07000; 17 211
07100;ANNONAY; 22 803; 22 803;07100; 22 803
07110;LARGENTIÈRE; 8 662; 8 662;07110; 8 662
07120;RUOMS; 6 436; 6 436;07120; 6 436
07130;SAINT-PÉRAY; 15 023; 15 023;07130; 15 023
07140;LES VANS; 5 981; 5 981;07140; 5 981
07150;VALLON-PONT-D'ARC; 5 995; 5 995;07150; 5 995
07160;LE CHEYLARD; 5 821; 5 931;07160; 5 821
07170;VILLENEUVE-DE-BERG; 8 518; 8 518;07C01; 9 935
07190;SAINT-SAUVEUR-DE-MONTAGUT; 3 333; 3 443;07190; 3 443
07200;AUBENAS; 32 579; 32 579;07200; 32 579
07210;CHOMÉRAC; 9 068; 9 068;07210; 9 068
07220;VIVIERS; 6 290; 6 290;07220; 6 290
07230;LABLACHÈRE; 3 997; 3 997;07230; 3 997
07240;VERNOUX-EN-VIVARAIS; 3 517; 3 517;07240; 3 517
07250;LE POUZIN; 2 879; 4 005;07C06; 18 096
07260;JOYEUSE; 3 879; 3 879;07260; 3 879
07270;LAMASTRE; 6 141; 6 141;07270; 6 141
07290;QUINTENAS; 6 999; 6 999;07290; 6 999
07300;TOURNON-SUR-RHÔNE; 18 014; 18 014;07300; 18 014
07310;SAINT-MARTIN-DE-VALAMAS; 2 455; 2 765;07310; 2 765
07320;SAINT-AGRÈVE; 3 268; 3 578;07C05; 3 794
07330;THUEYTS; 1 730; 1 730;07330; 1 730
07340;PEAUGRES; 13 005; 13 005;07340; 13 005
07350;CRUAS; 3 063; 3 063;07350; 3 063
07360;LES OLLIÈRES-SUR-EYRIEUX; 2 860; 2 860;07360; 2 860
07370;SARRAS; 4 172; 4 172;07370; 4 172
07380;JAUJAC; 6 276; 6 276;07380; 6 276
07400;LE TEIL; 15 489; 15 489;07400; 15 489
07410;SAINT-FÉLICIEN; 3 782; 3 782;07410; 3 782
07430;DAVÉZIEUX; 9 582; 9 582;07430; 9 582
07440;ALBOUSSIÈRE; 2 727; 2 727;07440; 2 727
07450;BURZET; 1 118; 1 118;07C02; 1 916
07460;SAINT-PAUL-LE-JEUNE; 3 890; 3 890;07460; 3 890
07470;COUCOURON; 1 369; 1 369;07470; 1 369
07500;GUILHERAND-GRANGES; 10 756; 10 756;07500; 10 756
07510;SAINT-CIRGUES-EN-MONTAGNE;  671;  919;07C04; 1 074
07520;LALOUVESC;  526;  526;07C05; 3 794
07530;VALLÉES-D'ANTRAIGUES-ASPERJOC;  883; 1 777;07530; 1 777
07560;MONTPEZAT-SOUS-BAUZON;  798;  798;07C02; 1 916
07570;DÉSAIGNES; 1 363; 1 363;07570; 1 363
07580;SAINT-JEAN-LE-CENTENIER; 1 417; 1 417;07C01; 9 935
07590;SAINT-ÉTIENNE-DE-LUGDARÈS;  878;  878;07C03; 1 544
07600;VALS-LES-BAINS; 4 466; 5 360;07600; 4 466
07610;VION; 2 275; 2 275;07610; 2 275
07630;LE BÉAGE;  254;  403;07C04; 1 074
07660;LESPÉRON;  567;  666;07C03; 1 544
07690;VILLEVOCANCE; 3 244; 3 244;07690; 3 244
07700;BOURG-SAINT-ANDÉOL; 13 946; 13 946;07700; 13 946
07790;SAINT-ALBAN-D'AY; 1 419; 1 419;07790; 1 419
07800;LA VOULTE-SUR-RHÔNE; 14 091; 15 217;07C06; 18 096
08000;CHARLEVILLE-MÉZIÈRES; 55 108; 55 108;08000; 55 108
08090;AIGLEMONT; 9 760; 9 760;08090; 9 760
08110;CARIGNAN; 7 698; 7 698;08110; 7 698
08120;BOGNY-SUR-MEUSE; 5 018; 5 018;08120; 5 018
08130;ATTIGNY; 4 279; 4 279;08130; 4 279
08140;BAZEILLES; 7 445; 7 445;08140; 7 445
08150;RENWEZ; 7 664; 7 664;08150; 7 664
08160;NOUVION-SUR-MEUSE; 7 866; 7 866;08160; 7 866
08170;FUMAY; 5 964; 5 964;08170; 5 964
08190;ASFELD; 5 585; 5 585;08190; 5 585
08200;SEDAN; 24 124; 24 124;08200; 24 124
08210;MOUZON; 3 493; 3 493;08210; 3 493
08220;ROCQUIGNY; 3 391; 3 391;08220; 3 391
08230;ROCROI; 4 725; 4 725;08230; 4 725
08240;BUZANCY; 2 511; 2 511;08240; 2 511
08250;GRANDPRÉ; 2 385; 2 385;08250; 2 385
08260;MAUBERT-FONTAINE; 3 446; 3 446;08260; 3 446
08270;SAULCES-MONCLIN; 4 122; 4 122;08270; 4 122
08290;LIART; 1 885; 1 885;08290; 1 885
08300;RETHEL; 18 856; 18 856;08300; 18 856
08310;JUNIVILLE; 4 673; 4 673;08310; 4 673
08320;VIREUX-WALLERAND; 4 573; 4 573;08320; 4 573
08330;VRIGNE AUX BOIS;  0; 3 572;08330; 3 572
08350;DONCHERY; 4 289; 8 406;08350; 4 289
08360;CHÂTEAU-PORCIEN; 2 077; 2 077;08360; 2 077
08370;MARGUT; 2 337; 2 337;08370; 2 337
08380;SIGNY-LE-PETIT; 2 406; 2 406;08380; 2 406
08390;BAIRON ET SES ENVIRONS;  859; 1 880;08390; 1 880
08400;VOUZIERS; 8 850; 9 871;08400; 8 850
08410;BOULZICOURT;  966;  966;08C01; 6 163
08430;POIX-TERRON; 5 197; 5 197;08C01; 6 163
08440;VIVIER-AU-COURT; 5 253; 5 253;08440; 5 253
08450;RAUCOURT-ET-FLABA; 3 211; 3 756;08450; 3 756
08460;SIGNY-L'ABBAYE; 3 151; 3 151;08460; 3 151
08500;REVIN; 6 931; 6 931;08500; 6 931
08600;GIVET; 9 669; 9 669;08600; 9 669
08700;NOUZONVILLE; 9 162; 9 162;08700; 9 162
08800;MONTHERMÉ; 6 515; 6 515;08800; 6 515
09000;FOIX; 19 329; 19 329;09000; 19 329
09100;PAMIERS; 27 463; 27 463;09100; 27 463
09110;AX-LES-THERMES; 2 740; 2 740;09C01; 3 334
09120;VARILHES; 8 882; 8 882;09120; 8 882
09130;LE FOSSAT; 3 649; 3 649;09130; 3 649
09140;SEIX; 2 878; 2 878;09140; 2 878
09160;PRAT-BONREPAUX; 2 817; 2 817;09160; 2 817
09190;LORP-SENTARAILLE; 3 372; 3 372;09190; 3 372
09200;SAINT-GIRONS; 9 781; 9 781;09200; 9 781
09210;LÉZAT-SUR-LÈZE; 3 038; 3 038;09210; 3 038
09220;VAL-DE-SOS; 1 232; 1 232;09220; 1 232
09230;SAINTE-CROIX-VOLVESTRE; 2 092; 2 092;09230; 2 092
09240;LA BASTIDE-DE-SÉROU; 2 310; 2 310;09240; 2 310
09250;LUZENAC; 1 054; 1 054;09250; 1 054
09270;MAZÈRES; 3 873; 3 873;09270; 3 873
09290;LE MAS-D'AZIL; 1 464; 1 464;09290; 1 464
09300;LAVELANET; 12 073; 12 073;09300; 12 073
09310;LES CABANNES; 1 468; 1 468;09310; 1 468
09320;MASSAT; 1 910; 1 910;09320; 1 910
09330;MONTGAILLARD; 1 484; 1 484;09330; 1 484
09340;VERNIOLLE; 2 252; 2 252;09340; 2 252
09350;DAUMAZAN-SUR-ARIZE; 2 729; 2 729;09350; 2 729
09390;L'HOSPITALET-PRÈS-L'ANDORRE;  102;  102;09C01; 3 334
09400;TARASCON-SUR-ARIÈGE; 8 398; 8 398;09400; 8 398
09420;RIMONT; 1 774; 1 774;09420; 1 774
09460;QUÉRIGUT;  492;  492;09C01; 3 334
09500;MIREPOIX; 6 935; 6 935;09500; 6 935
09600;LAROQUE-D'OLMES; 6 336; 6 336;09600; 6 336
09700;SAVERDUN; 8 292; 8 292;09700; 8 292
09800;CASTILLON-EN-COUSERANS; 3 068; 3 068;09800; 3 068
