Code postal 2022;Libellé poste;Population 2019 desservie par le code postal, au minimum (en ne comptabilisant aucune commune multidistribuée);Population 2019 desservie par le code postal, au maximum (en comptabilisant toutes les communes multidistribuée);Code géographique PMSI 2022;Population 2019 desservie par le code géo PMSI
84870;LORIOL-DU-COMTAT; 2 520; 2 520;84870; 2 520
85000;LA ROCHE-SUR-YON; 60 118; 60 118;85000; 60 118
85100;LES SABLES-D'OLONNE;  0; 45 030;85C01; 47 813
85110;CHANTONNAY; 16 479; 16 479;85110; 16 479
85120;LA CHÂTAIGNERAIE; 9 645; 9 645;85120; 9 645
85130;CHANVERRIE; 10 976; 16 429;85C02; 37 953
85140;ESSARTS EN BOCAGE; 15 140; 15 140;85140; 15 140
85150;LES ACHARDS; 22 354; 22 354;85150; 22 354
85160;SAINT-JEAN-DE-MONTS; 8 696; 8 696;85160; 8 696
85170;LE POIRÉ-SUR-VIE; 26 447; 26 447;85170; 26 447
85180;LES SABLES-D'OLONNE;  0; 45 030;85C01; 47 813
85190;AIZENAY; 20 332; 20 332;85190; 20 332
85200;FONTENAY-LE-COMTE; 25 106; 25 106;85200; 25 106
85210;SAINTE-HERMINE; 7 606; 7 606;85210; 7 606
85220;COMMEQUIERS; 16 783; 16 783;85220; 16 783
85230;BEAUVOIR-SUR-MER; 10 612; 10 612;85230; 10 612
85240;RIVES-D'AUTISE; 4 452; 6 546;85240; 6 546
85250;SAINT-FULGENT; 12 029; 12 029;85250; 12 029
85260;MONTRÉVERD; 10 892; 10 892;85260; 10 892
85270;SAINT-HILAIRE-DE-RIEZ; 13 453; 13 453;85270; 13 453
85280;LA FERRIÈRE; 5 315; 5 315;85280; 5 315
85290;MORTAGNE-SUR-SÈVRE; 9 748; 9 748;85290; 9 748
85300;CHALLANS; 32 750; 32 750;85300; 32 750
85310;RIVES DE L'YON; 11 668; 11 668;85310; 11 668
85320;MAREUIL-SUR-LAY-DISSAIS; 9 500; 9 500;85320; 9 500
85330;NOIRMOUTIER-EN-L'ÎLE; 4 550; 4 550;85330; 4 550
85340;L'ÎLE-D'OLONNE; 2 783; 47 813;85C01; 47 813
85350;L'ÎLE-D'YEU; 4 850; 4 850;85350; 4 850
85360;LA TRANCHE-SUR-MER; 2 904; 2 904;85360; 2 904
85370;NALLIERS; 4 497; 4 497;85370; 4 497
85390;MOUILLERON-SAINT-GERMAIN; 5 834; 5 834;85390; 5 834
85400;LUÇON; 14 454; 14 454;85400; 14 454
85410;LA CAILLÈRE-SAINT-HILAIRE; 3 544; 3 544;85410; 3 544
85420;SAINT-PIERRE-LE-VIEUX; 5 090; 7 184;85420; 5 090
85430;AUBIGNY-LES CLOUZEAUX; 10 846; 10 846;85430; 10 846
85440;TALMONT-SAINT-HILAIRE; 13 431; 13 431;85440; 13 431
85450;CHAILLÉ-LES-MARAIS; 6 984; 6 984;85450; 6 984
85460;L'AIGUILLON-LA-PRESQU-ÎLE; 2 726; 2 726;85460; 2 726
85470;BRETIGNOLLES-SUR-MER; 7 883; 7 883;85470; 7 883
85480;BOURNEZEAU; 6 937; 6 937;85480; 6 937
85490;BENET; 4 014; 4 014;85490; 4 014
85500;LES HERBIERS; 21 524; 26 977;85C02; 37 953
85510;LE BOUPÈRE; 4 215; 4 215;85510; 4 215
85520;JARD-SUR-MER; 3 977; 3 977;85520; 3 977
85530;LA BRUFFIÈRE; 4 028; 4 028;85530; 4 028
85540;MOUTIERS-LES-MAUXFAITS; 9 061; 9 061;85540; 9 061
85550;LA BARRE-DE-MONTS; 2 179; 2 179;85550; 2 179
85560;LONGEVILLE-SUR-MER; 3 644; 3 644;85560; 3 644
85570;L'HERMENAULT; 3 438; 3 438;85570; 3 438
85580;SAINT-MICHEL-EN-L'HERM; 4 611; 4 611;85580; 4 611
85590;LES EPESSES; 7 017; 7 017;85590; 7 017
85600;MONTAIGU-VENDÉE; 25 976; 25 976;85600; 25 976
85610;CUGAND; 5 431; 5 431;85610; 5 431
85620;ROCHESERVIÈRE; 3 400; 3 400;85620; 3 400
85630;BARBÂTRE; 1 723; 1 723;85630; 1 723
85640;MOUCHAMPS; 2 922; 2 922;85640; 2 922
85660;SAINT-PHILBERT-DE-BOUAINE; 3 535; 3 535;85660; 3 535
85670;SAINT-CHRISTOPHE-DU-LIGNERON; 9 917; 9 917;85670; 9 917
85680;LA GUÉRINIÈRE; 1 320; 1 320;85680; 1 320
85690;NOTRE-DAME-DE-MONTS; 2 149; 2 149;85690; 2 149
85700;SÈVREMONT; 18 415; 18 415;85700; 18 415
85710;LA GARNACHE; 8 276; 8 276;85710; 8 276
85740;L'ÉPINE; 1 633; 1 633;85740; 1 633
85750;ANGLES; 2 878; 2 878;85750; 2 878
85770;VIX; 5 222; 5 222;85770; 5 222
85800;SAINT-GILLES-CROIX-DE-VIE; 14 946; 14 946;85800; 14 946
86000;POITIERS; 89 212; 89 212;86000; 89 212
86100;CHÂTELLERAULT; 34 445; 34 445;86100; 34 445
86110;MIREBEAU; 5 403; 11 383;86110; 5 403
86120;LES TROIS-MOUTIERS; 5 652; 5 652;86120; 5 652
86130;JAUNAY-MARIGNY; 7 488; 18 046;86C01; 41 816
