Code postal 2022;Libellé poste;Code géographique PMSI 2022;latitude;longitude
02420;LEHAUCOURT;02420;49.9325;3.251694117647059
02430;GAUCHY;02430;49.8276;3.2737
02440;MONTESCOURT-LIZEROLLES;02440;49.72;3.281442857142857
02450;BOUÉ;02450;49.9773;3.6856142857142857
02460;LA FERTÉ-MILON;02460;49.2;3.1473
02470;NEUILLY-SAINT-FRONT;02470;49.1371;3.2321444444444447
02480;JUSSY;02480;49.7198;3.15723
02490;VERMAND;02490;49.8755;3.16054
02500;HIRSON;02500;49.8371;4.088127777777777
02510;ÉTREUX;02510;49.9729;3.643375
02520;FLAVY-LE-MARTEL;02520;49.713;3.1915
02540;VIELS-MAISONS;02540;48.9199;3.45396
02550;ORIGNY-EN-THIÉRACHE;02550;49.8933;4.0164
02570;CHÉZY-SUR-MARNE;02570;48.9888;3.389
02580;ÉTRÉAUPONT;02580;49.9044;3.887733333333333
02590;ÉTREILLERS;02590;49.8266;3.1318083333333333
02600;VILLERS-COTTERÊTS;02600;49.3317;3.144953846153846
02610;MO-DE-L'AISNE;02C02;49.75;3.3667
02620;BUIRONFOSSE;02620;49.9666;3.8359
02630;WASSIGNY;02630;49.9717;3.5710333333333337
02640;SAINT-SIMON;02C01;49.7459;3.1667500000000004
02650;CRÉZANCY;02650;49.0675;3.4996666666666667
02670;FOLEMBRAY;02670;49.5408;3.2727500000000003
02680;GRUGIES;02680;49.821;3.2404
02690;ESSIGNY-LE-GRAND;02690;49.7899;3.29375
02700;TERGNIER;02700;49.621;3.30637
02720;HOMBLIÈRES;02720;49.8294;3.3758
02760;HOLNON;02760;49.8609;3.22
02790;SERAUCOURT-LE-GRAND;02C01;49.7833;3.2167
02800;LA FÈRE;02800;49.6869;3.39751875
02810;GANDELU;02810;49.0905;3.2165250000000003
02820;SAINT-ERME-OUTRE-ET-RAMECOURT;02820;49.4888;3.816636363636363
02830;SAINT-MICHEL;02830;49.8994;4.16635
02840;ATHIES-SOUS-LAON;02840;49.5737;3.7302
02850;TRÉLOU-SUR-MARNE;02850;49.0588;3.5581428571428573
02860;BRUYÈRES-ET-MONTBÉRAULT;02860;49.5077;3.675209090909091
02870;CRÉPY;02870;49.582;3.525714285714286
02880;CROUY;02880;49.4487;3.3871222222222226
03000;MOULINS;03000;46.5646;3.2923666666666667
03100;MONTLUÇON;03100;46.31;2.6014
03110;VENDAT;03110;46.1083;3.3280222222222218
03120;LAPALISSE;03120;46.232;3.652946153846154
03130;LE DONJON;03130;46.3875;3.838007142857143
03140;CHANTELLE;03140;46.2415;3.161173333333333
03150;VARENNES-SUR-ALLIER;03150;46.3177;3.4562800000000005
03160;BOURBON-L'ARCHAMBAULT;03160;46.5521;3.0324285714285715
03170;DOYET;03170;46.3356;2.7689714285714286
03190;VALLON-EN-SULLY;03190;46.397;2.65365
03200;VICHY;03200;46.1087;3.444433333333333
03210;SOUVIGNY;03210;46.4732;3.173916666666667
03220;JALIGNY-SUR-BESBRE;03220;46.4026;3.5993666666666666
03230;LUSIGNY;03230;46.731;3.5836300000000003
03240;TRONGET;03240;46.4045;3.084625
03250;LE MAYET-DE-MONTAGNE;03250;46.0584;3.683990909090909
03260;SAINT-GERMAIN-DES-FOSSÉS;03260;46.2338;3.45295
03270;SAINT-YORRE;03270;46.0206;3.48005
03290;DOMPIERRE-SUR-BESBRE;03290;46.5221;3.687333333333333
03300;CUSSET;03300;46.1789;3.5031142857142856
03310;NÉRIS-LES-BAINS;03310;46.2668;2.648075
03320;LURCY-LÉVIS;03320;46.6763;2.9930142857142856
03330;BELLENAVES;03330;46.2429;3.031628571428571
03340;NEUILLY-LE-RÉAL;03340;46.411;3.4365375
03350;CÉRILLY;03350;46.5615;2.80804
03360;AINAY-LE-CHÂTEAU;03360;46.611;2.677
03370;CHAZEMAIS;03370;46.4828;2.392777777777778
03380;HURIEL;03380;46.3027;2.451342857142857
03390;MONTMARAULT;03390;46.3495;2.94192
03400;YZEURE;03400;46.6364;3.386375
03410;DOMÉRAT;03410;46.3134;2.55136
03420;MARCILLAT-EN-COMBRAILLE;03420;46.2051;2.6128777777777774
03430;COSNE-D'ALLIER;03430;46.4524;2.84846
03440;BUXIÈRES-LES-MINES;03440;46.4139;2.9755000000000003
03450;ÉBREUIL;03450;46.1652;3.037114285714286
03460;TRÉVOL;03460;46.6602;3.24506
03470;SALIGNY-SUR-ROUDON;03470;46.468;3.81045
03500;SAINT-POURÇAIN-SUR-SIOULE;03500;46.2951;3.268526666666667
03510;MOLINET;03510;46.4386;3.9579
03600;COMMENTRY;03600;46.3018;2.7977833333333333
03630;DÉSERTINES;03630;46.3546;2.6192
03700;BELLERIVE-SUR-ALLIER;03700;46.0986;3.3768666666666665
03800;GANNAT;03800;46.0769;3.2092166666666664
04000;DIGNE-LES-BAINS;04000;44.0925;6.2666
04100;MANOSQUE;04100;43.8288;5.7869
04110;REILLANNE;04C04;43.8359;5.65195
04120;CASTELLANE;04120;43.7833;6.522257142857143
04130;VOLX;04130;43.8779;5.8415
04140;SEYNE;04140;44.2634;6.3219125
04150;BANON;04150;44.0777;5.635055555555556
04160;CHÂTEAU-ARNOUX-SAINT-AUBAN;04C08;44.0816;6.01595
04170;SAINT-ANDRÉ-LES-ALPES;04170;44.0971;6.52744
04180;VILLENEUVE;04180;43.8942;5.8627
04190;LES MÉES;04190;44.0296;5.9764
04200;SISTERON;04200;44.1478;5.8916315789473686
04210;VALENSOLE;04210;43.8941;6.0069
04220;SAINTE-TULLE;04220;43.761;5.7582
04230;SAINT-ÉTIENNE-LES-ORGUES;04230;44.0574;5.802575
04240;ANNOT;04240;43.9859;6.677283333333333
04250;LA MOTTE-DU-CAIRE;04250;44.2743;6.0843
04260;ALLOS;04C02;44.2411;6.6286
04270;MÉZEL;04270;43.9173;6.2159545454545455
04280;CÉRESTE;04C04;43.8558;5.5868
04290;VOLONNE;04290;44.1579;6.0041
04300;FORCALQUIER;04300;43.904;5.788688888888888
04310;PEYRUIS;04C08;44.0288;5.92825
04320;ENTREVAUX;04320;43.9167;6.78885
04330;BARRÊME;04330;43.9137;6.3795625000000005
04340;UBAYE-SERRE-PONÇON;04C07;44.4566;6.403675
04350;MALIJAI;04C09;44.046;6.0304
04360;MOUSTIERS-SAINTE-MARIE;04C03;43.8462;6.2217
04370;COLMARS;04C02;44.1667;6.6071
04380;THOARD;04C06;44.1806;6.1362000000000005
04400;BARCELONNETTE;04C07;44.3672;6.641933333333333
04410;PUIMOISSON;04C03;43.8982;6.1636500000000005
04420;LE BRUSQUET;04420;44.203;6.348
04500;RIEZ;04500;43.7819;6.084014285714285
04510;AIGLUN;04C09;44.0458;6.1053
04530;SAINT-PAUL-SUR-UBAYE;04C01;44.476;6.78854
04600;MONTFORT;04C08;44.0636;5.9913
04660;CHAMPTERCIER;04C06;44.0953;6.1614
04700;ORAISON;04700;43.9385;5.953533333333334
